Crop,N,P,K,pH,Temperature,Humidity,Rainfall,Yield_tons_per_hectare
Wheat,134.9,57.23,72.95,7.76,18.83,57.66,228.96,2.87
Rice,65.92,50.85,30.73,6.27,29.21,60.87,113.75,2.91
Cotton,69.62,56.28,51.84,6.29,35.33,52.74,123.38,1.85
Sugarcane,183.67,102.22,76.98,7.39,27.0,72.08,219.91,7.84
Sugarcane,199.6,78.85,116.45,6.59,31.04,55.4,183.59,7.4
Maize,172.15,73.43,47.69,6.65,17.61,57.8,156.97,3.91
Wheat,130.31,24.74,66.48,6.81,16.62,66.12,201.55,2.75
Onion,74.82,43.82,56.63,7.29,19.6,63.14,44.68,1.52
Wheat,144.38,87.12,58.56,7.5,21.81,53.55,168.07,2.92
Tomato,118.93,91.29,27.61,6.91,24.44,67.01,124.59,2.08
Soybean,73.41,67.14,79.56,6.24,21.96,64.98,175.77,1.95
Rice,64.11,50.27,41.94,6.98,24.49,76.72,180.39,2.85
Rice,88.88,45.22,40.1,6.38,20.92,75.79,182.86,3.11
Wheat,115.16,68.08,97.72,7.09,21.29,59.26,54.06,2.56
Sugarcane,201.81,149.26,96.15,7.35,29.83,63.31,307.14,7.42
Sugarcane,223.73,81.81,128.06,6.5,32.93,96.9,200.47,6.92
Onion,102.99,39.93,18.99,6.83,16.69,69.74,54.03,2.0
Tomato,96.5,53.56,96.27,5.88,25.14,83.07,39.63,2.66
Rice,87.8,55.64,15.26,5.84,30.61,82.97,212.52,2.94
Onion,79.6,54.65,55.86,6.44,31.33,69.74,40.43,1.87
Sugarcane,170.76,115.74,123.17,6.79,34.82,79.13,291.1,7.51
Onion,92.64,34.93,32.21,6.39,21.61,68.41,113.83,1.93
Soybean,80.39,89.07,44.71,7.86,29.13,61.43,76.46,2.02
Sugarcane,193.3,114.28,109.46,7.16,25.77,59.85,227.67,7.69
Potato,156.42,55.09,103.46,6.19,13.58,76.54,152.91,2.08
Tomato,130.73,71.22,101.66,7.03,17.11,60.62,145.75,2.74
